repo,description,stars,fork,archived,has_readme,url,updated
branding-and-ai,Branding-and AI,1,False,False,True,https://github.com/nikbearbrown/branding-and-ai,2026-06-27T02:18:57Z
walker,,0,False,False,True,https://github.com/nikbearbrown/walker,2026-06-26T01:28:49Z
bbc-reallocation-pipeline,,0,False,False,True,https://github.com/nikbearbrown/bbc-reallocation-pipeline,2026-06-25T22:19:46Z
quantum-mechanics-videos,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-videos,2026-06-25T21:07:08Z
info-7375-branding-and-ai-spring-2026,,0,False,False,True,https://github.com/nikbearbrown/info-7375-branding-and-ai-spring-2026,2026-06-22T22:16:14Z
quantum-mechanics-vol5,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-vol5,2026-06-21T18:13:14Z
qm,,0,False,False,False,https://github.com/nikbearbrown/qm,2026-06-21T17:53:03Z
info-5100-application-engineering-and-development,,1,False,False,True,https://github.com/nikbearbrown/info-5100-application-engineering-and-development,2026-06-20T19:38:49Z
embedded-ai,,1,False,False,True,https://github.com/nikbearbrown/embedded-ai,2026-06-20T19:34:15Z
madison,,0,False,False,True,https://github.com/nikbearbrown/madison,2026-06-18T22:23:56Z
INFO-7375-Computational-Skepticism-and-AI,INFO 7375 Computational Skepticism and AI,0,False,False,True,https://github.com/nikbearbrown/INFO-7375-Computational-Skepticism-and-AI,2026-06-18T17:45:34Z
mycroft,,0,False,False,True,https://github.com/nikbearbrown/mycroft,2026-06-17T16:19:22Z
the-reallocation-engine,The Reallocation Engine,3,False,False,True,https://github.com/nikbearbrown/the-reallocation-engine,2026-06-17T16:18:20Z
pharma-rep-visit-data-as-an-untapped-causal-dataset,,0,False,False,True,https://github.com/nikbearbrown/pharma-rep-visit-data-as-an-untapped-causal-dataset,2026-06-17T16:18:15Z
ai-driven-programmatic-hcp-marketing,,0,False,False,True,https://github.com/nikbearbrown/ai-driven-programmatic-hcp-marketing,2026-06-17T16:18:12Z
ai1-cli,,0,False,False,True,https://github.com/nikbearbrown/ai1-cli,2026-06-17T16:18:08Z
cli-agnostic-ai-tooling-for-local-project-workflows,,0,False,False,True,https://github.com/nikbearbrown/cli-agnostic-ai-tooling-for-local-project-workflows,2026-06-14T18:27:49Z
validating-output-from-ai-systems,,1,False,False,True,https://github.com/nikbearbrown/validating-output-from-ai-systems,2026-06-14T17:04:18Z
learning-when-to-use-and-when-not-to-use-ai,,0,False,False,True,https://github.com/nikbearbrown/learning-when-to-use-and-when-not-to-use-ai,2026-06-14T17:04:16Z
learning-experience-design-lxd,,0,False,False,True,https://github.com/nikbearbrown/learning-experience-design-lxd,2026-06-14T17:04:15Z
computational-skepticism-for-ai, Computational Skepticism for AI,2,False,False,True,https://github.com/nikbearbrown/computational-skepticism-for-ai,2026-06-14T17:04:10Z
claude-cowork,,0,False,False,True,https://github.com/nikbearbrown/claude-cowork,2026-06-14T17:04:09Z
claude-agentic-ai,,1,False,False,True,https://github.com/nikbearbrown/claude-agentic-ai,2026-06-14T17:04:08Z
ai-for-learning-experience-design,,0,False,False,True,https://github.com/nikbearbrown/ai-for-learning-experience-design,2026-06-14T17:04:06Z
humanitarians_html,,0,False,False,True,https://github.com/nikbearbrown/humanitarians_html,2026-06-11T03:06:07Z
investing-in-quantum,,0,False,False,True,https://github.com/nikbearbrown/investing-in-quantum,2026-06-11T01:23:18Z
ai1-cowork,,0,False,False,True,https://github.com/nikbearbrown/ai1-cowork,2026-06-10T21:23:34Z
quantum-mechanics-a-companion-guide,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-a-companion-guide,2026-06-10T19:51:59Z
medhavy_com,medhavy_com,1,False,False,True,https://github.com/nikbearbrown/medhavy_com,2026-06-09T15:00:29Z
design-of-agentic-systems-with-case-studies,,2,False,False,True,https://github.com/nikbearbrown/design-of-agentic-systems-with-case-studies,2026-06-09T04:08:40Z
imaging-in-cancer-and-nanomedicine,,0,False,False,True,https://github.com/nikbearbrown/imaging-in-cancer-and-nanomedicine,2026-06-09T03:06:45Z
cancer-research,,0,False,False,True,https://github.com/nikbearbrown/cancer-research,2026-06-09T02:34:31Z
cancer-nanomedicine,,0,False,False,True,https://github.com/nikbearbrown/cancer-nanomedicine,2026-06-09T02:10:49Z
cancer-biology,,0,False,False,True,https://github.com/nikbearbrown/cancer-biology,2026-06-09T01:46:04Z
cancer-medicine,,0,False,False,True,https://github.com/nikbearbrown/cancer-medicine,2026-06-09T00:39:01Z
qm-books,,0,False,False,False,https://github.com/nikbearbrown/qm-books,2026-06-07T16:41:12Z
quantum-mechanics-vol4,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-vol4,2026-06-07T04:04:59Z
quantum-mechanics-vol3,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-vol3,2026-06-07T04:04:58Z
quantum-mechanics-vol1,,1,False,False,True,https://github.com/nikbearbrown/quantum-mechanics-vol1,2026-06-07T04:04:56Z
