id,title,upload_date,views,likes,comments,duration_s,url,has_transcript
Lna5tbCketA,The Fisherman's Wife — Lyric Video (Claude x Higgsfield Songbird Test),20260627,5,,0,201,https://www.youtube.com/watch?v=Lna5tbCketA,True
fgvMlFnUfI8,The Fisherman's Wife — Lyric Video (Claude Songbird Test),20260626,13,,0,201,https://www.youtube.com/watch?v=fgvMlFnUfI8,True
lKkVZ1Dss7g,Naanza by Dijit Arjun Bear Brown,20260610,40,1,0,329,https://www.youtube.com/watch?v=lKkVZ1Dss7g,True
FLhmA13Vt9M,We Could Fall in Love Again (Liam Bear Brown),20260315,106,,2,183,https://www.youtube.com/watch?v=FLhmA13Vt9M,True
SKHRyDQygLc,Lyrical Literacy to Suno AI: Making River Mumma Calling Production-Ready,20260310,38,,0,277,https://www.youtube.com/watch?v=SKHRyDQygLc,True
zeQySqwUW80,How to Create a Song using the Lyrical Literacy Tool Tutorial | Musinique,20260307,34,,0,281,https://www.youtube.com/watch?v=zeQySqwUW80,True
9KgGidoEFSE,We're Building Tools to Fight Back Against the Algorithm,20260307,37,,0,277,https://www.youtube.com/watch?v=9KgGidoEFSE,True
edxXeLcW8p0,Musicology Manifesto (Speak singing spoken word),20260306,22,1,1,159,https://www.youtube.com/watch?v=edxXeLcW8p0,True
lZBqmT2lRBM,Roses Bedight   (Cletus Bear Spuckler),20260305,36,,0,163,https://www.youtube.com/watch?v=lZBqmT2lRBM,True
ovJeSfLkhfk,Strange Brothers (feat. Mayfield King),20260303,75,1,1,228,https://www.youtube.com/watch?v=ovJeSfLkhfk,True
P7wa7VrZ6cM,Still the Mothers Count the Missing — The Song Nobody Asked For,20260301,106,2,4,312,https://www.youtube.com/watch?v=P7wa7VrZ6cM,True
5H1Y-fLFJRA,The Parable of the Crab and his Mother | Musinique × Humanitarians AI (Liam Bear Brown),20260108,136,7,4,173,https://www.youtube.com/watch?v=5H1Y-fLFJRA,True
aw_KrVZz1ZI,All Things Bright and Beautiful | Musinique × Lyrical Literacy,20260105,116,11,2,297,https://www.youtube.com/watch?v=aw_KrVZz1ZI,True
c0sGd8D486o,Ozymandias (Speak-Sung Poem) — Tuzi Brown | Percy Bysshe Shelley (1818),20260102,80,4,1,193,https://www.youtube.com/watch?v=c0sGd8D486o,False
SXYR8pg0Qos,Tuzi Brown — Mon Homme (Sur cette terre) | Mistinguett / “My Man” (2025),20260102,104,4,1,126,https://www.youtube.com/watch?v=SXYR8pg0Qos,False
saEUv9-dgyI,Tongue Twister Song: Fuzzy Wuzzy Was a Bear 🐻 | Phonological Awareness + Brain Training,20260101,54,4,2,201,https://www.youtube.com/watch?v=saEUv9-dgyI,True
K0dnzVTnQXI,Sacred Emily (1913) — Gertrude Stein | Spoken Word by Nik Bear Brown,20260101,161,4,2,139,https://www.youtube.com/watch?v=K0dnzVTnQXI,True
G42mDjfwZOc,“Five Little Speckled Frogs” | Mayfield King × Lyrical Literacy,20251231,190,4,1,181,https://www.youtube.com/watch?v=G42mDjfwZOc,True
aLa8DWS-ElE,"Mayfield King — The Voice of Conscious Soul | Spirituals of Light, Freedom, and Peace",20251231,239,6,2,180,https://www.youtube.com/watch?v=aLa8DWS-ElE,True
7mIz5O3R0dA,Lift Every Voice and Sing | Mayfield King,20251230,307,8,1,169,https://www.youtube.com/watch?v=7mIz5O3R0dA,True
OXug8jzMWLg,Boogeyman | Conscious Soul Music Video — Mayfield King,20251230,101,3,1,160,https://www.youtube.com/watch?v=OXug8jzMWLg,True
ArPMqMsWO68,Prufrock (Spoken Word) — Nik Bear Brown | TS Elliot (1915),20251228,88,4,2,529,https://www.youtube.com/watch?v=ArPMqMsWO68,True
FCBQwFuZqXA,Silent Night – Holy Night (Adapted Traditional Carol) | HD Music Wallpaper & Lyrics,20251228,73,1,2,158,https://www.youtube.com/watch?v=FCBQwFuZqXA,True
KEWwOBQbhEc,"We Three Kings — Gold, Frankincense & Myrrh | HD Music Wallpaper & Lyrics",20251228,49,1,2,185,https://www.youtube.com/watch?v=KEWwOBQbhEc,True
eX6qvPbBOeM,Away in a Manger (Adapted Traditional Hymn) | HD Music Wallpaper & Lyrics,20251228,26,1,2,249,https://www.youtube.com/watch?v=eX6qvPbBOeM,True
acjYtuNUO8I,The Holly and the Ivy (Traditional Christmas Poem Sung),20251227,26,2,2,221,https://www.youtube.com/watch?v=acjYtuNUO8I,True
tnQuzgVc8lQ,Over the River and Through the Woods (Traditional Holidy Song) | Xmas Tree Animation,20251226,38,1,2,206,https://www.youtube.com/watch?v=tnQuzgVc8lQ,True
fwq2NU_zWzk,O Little Town of Bethlehem (Traditional Christmas Song) | Xmas Tree Animation,20251226,31,2,2,286,https://www.youtube.com/watch?v=fwq2NU_zWzk,True
tFjvLgeNxnM,Good King Wenceslas (Traditional Christmas Song) | Xmas Tree Animation,20251226,37,1,2,229,https://www.youtube.com/watch?v=tFjvLgeNxnM,True
JTTAIWFCX-A,Musinique Xmas Card #9: Melting Without Regret,20251226,50,2,0,11,https://www.youtube.com/watch?v=JTTAIWFCX-A,False
E0qSBxrnPI8,Musinique Xmas Card #8: Charlie Brown's Pathetic Little Tree,20251225,12350,5,1,28,https://www.youtube.com/watch?v=E0qSBxrnPI8,True
yrfzqsPXeIE,Twas the Night Before Christmas (Two and One-Half Minute Edit),20251225,27730,3,0,156,https://www.youtube.com/watch?v=yrfzqsPXeIE,True
YXD2pIoQ9qU,Musinique Xmas Cards (Ad #4 Krampus Judgment),20251224,134,,0,42,https://www.youtube.com/watch?v=YXD2pIoQ9qU,True
HJJQoIUElvo,Musinique Xmas Cards (16:9 Ad #3 Jacob Marley's Warning),20251224,9934,1,0,45,https://www.youtube.com/watch?v=HJJQoIUElvo,True
oYME3Wq3Fvc,Twas the Night Before Christmas (Radio Edit),20251223,69,1,1,184,https://www.youtube.com/watch?v=oYME3Wq3Fvc,True
0K1FKPUvJ_U,Letter from a Region in My Mind | (30 Second Commercial) | Spoken Word (Nik Bear Brown),20251222,23769,2,1,30,https://www.youtube.com/watch?v=0K1FKPUvJ_U,True
jE6U-rRW-Bk,Every Note Speaks Truth | Mayfield King (Commercial),20251222,76747,6,1,30,https://www.youtube.com/watch?v=jE6U-rRW-Bk,True
1dy5SWbYeZQ,Bella Ciao | Historical Folk Song | Tuzi Brown,20251220,10647,60,2,177,https://www.youtube.com/watch?v=1dy5SWbYeZQ,False
oExsIEbRoCo,A Freedom Rider’s Prayer | Freedom Rider Mugshots: Portraits of Courage,20251218,82645,24,4,179,https://www.youtube.com/watch?v=oExsIEbRoCo,True
jijxh4Bp3wc,Blessed the Broken for William Newton Brown,20251218,9684,15,2,180,https://www.youtube.com/watch?v=jijxh4Bp3wc,True
kPqfpQPtdZY,"Obama ""Get Stuff Done""",20250311,189,4,0,66,https://www.youtube.com/watch?v=kPqfpQPtdZY,True
