id,title,upload_date,views,likes,comments,duration_s,url,has_transcript
sHkTxsUQ7Z4,Jane Austen: A Mini Biography (1775 — 1817),20260626,0,,0,51,https://www.youtube.com/watch?v=sHkTxsUQ7Z4,True
wXidxV8KYXU,Who Was Shurpanakha?,20260626,13,,0,52,https://www.youtube.com/watch?v=wXidxV8KYXU,True
iAfg2GILhHo,The Story of Dorothy Gale,20260626,4,,0,51,https://www.youtube.com/watch?v=iAfg2GILhHo,True
eMKKUiZy-64,Satyendra Nath Bose: The Man Bosons Are Named After,20260625,0,,0,31,https://www.youtube.com/watch?v=eMKKUiZy-64,True
XKr-gnP6Fys,Max Planck: The Reluctant Father of the Quantum,20260625,5,1,0,34,https://www.youtube.com/watch?v=XKr-gnP6Fys,True
Jqm6vrE05tY,The Photoelectric Effect: Why Colour Beats Brightness (Worked Example),20260624,6,1,1,65,https://www.youtube.com/watch?v=Jqm6vrE05tY,True
TwSCHSjN7i0,Bespoke AI development (bearbrown.co),20260423,37,4,12,135,https://www.youtube.com/watch?v=TwSCHSjN7i0,True
nDsMmN2aJZo,MGEN Student Showcase 2026,20260417,81,5,1,402,https://www.youtube.com/watch?v=nDsMmN2aJZo,True
mEPblYOHTcM,Why Every Claude Code Prompt You've Written Has the Same Structural Failure,20260401,135,3,24,560,https://www.youtube.com/watch?v=mEPblYOHTcM,True
PgBj1rWymos,Medhavy's Learning Tools,20260330,28,2,6,408,https://www.youtube.com/watch?v=PgBj1rWymos,True
3NFUo0lIVno,What Are Living Models?,20260329,24,3,5,397,https://www.youtube.com/watch?v=3NFUo0lIVno,True
29ZfLtleEYo,What Is Medhavy?,20260328,90,1,6,209,https://www.youtube.com/watch?v=29ZfLtleEYo,True
iT6pYsoCz60,Medhavy: AI Powered Interactive Learning,20260129,245,11,44,226,https://www.youtube.com/watch?v=iT6pYsoCz60,True
8Ut0Cdl6vMw,AI Policy for Professor Bear's Courses | Using AI Responsibly in Class,20260109,240,4,83,324,https://www.youtube.com/watch?v=8Ut0Cdl6vMw,True
