id,title,upload_date,views,likes,comments,duration_s,url,has_transcript
dDoXAkTZLFI,Addams — Your Humanitarians AI Sherpa,20260404,83,16,15,214,https://www.youtube.com/watch?v=dDoXAkTZLFI,True
eG8DgesVD0I,How to Create a Song with Roseline Abara | Lyrical Literacy Tutorial,20260320,71,17,15,409,https://www.youtube.com/watch?v=eG8DgesVD0I,True
K4i3o891bCs,Chapter 1: The Move That Changed Everything,20260317,42,11,6,463,https://www.youtube.com/watch?v=K4i3o891bCs,True
kc9fEWv8Iuw,Creating a Ghost Artist using Lyrical Literacy tool,20260311,44,16,10,424,https://www.youtube.com/watch?v=kc9fEWv8Iuw,True
ECW3-mZZOjc,How to Make a Production-Ready Song in Suno AI | Lyrical Literacy + Nana Coree Tutorial,20260309,26,9,6,276,https://www.youtube.com/watch?v=ECW3-mZZOjc,True
LQIqN2bmKF0,How to Create a Song with Nana Coree | Lyrical Literacy Tutorial,20260306,39,6,6,286,https://www.youtube.com/watch?v=LQIqN2bmKF0,True
cBsQYGQqKJ8,"The 5 Senses Song for Kids (No Captions) | Sight, Sound, Smell, Taste & Touch | Humanitarians AI",20260306,14,5,3,113,https://www.youtube.com/watch?v=cBsQYGQqKJ8,True
sgKe2tvy88I,"The 5 Senses Song for Kids | Learn Sight, Sound, Smell, Taste & Touch! | Humanitarians AI",20260305,19,4,2,113,https://www.youtube.com/watch?v=sgKe2tvy88I,True
1Lg5rwlecxA,The Student Who Was Afraid to Ask,20260302,72,12,9,613,https://www.youtube.com/watch?v=1Lg5rwlecxA,True
4geZzQ_rtVo,The RAMAN Effect Project: Building the Bridge Between Laboratory Promise and Public Health Reality,20260217,16,5,,79,https://www.youtube.com/watch?v=4geZzQ_rtVo,True
IK7Lp4P9wsk,6 UI With Gradio With HAILogo,20260210,41,12,7,395,https://www.youtube.com/watch?v=IK7Lp4P9wsk,True
Xws9aWcWT64,What Did I Actually Prove?,20260209,16,,,181,https://www.youtube.com/watch?v=Xws9aWcWT64,True
76vEw9kAALE,5 UI with Streamlit NoLogo ReEdit,20260207,68,14,9,409,https://www.youtube.com/watch?v=76vEw9kAALE,True
79xKdEV47LE,The Algorithm That Knows Your Future (Or Thinks It Does),20260207,51,8,6,424,https://www.youtube.com/watch?v=79xKdEV47LE,True
AagBcviQvgs,The Singing Brain,20260207,14,2,1,244,https://www.youtube.com/watch?v=AagBcviQvgs,True
vXxyHw5LWuk,The Author and the Character: Teaching Jane Austen Through AI Resurrection,20260204,84,8,6,356,https://www.youtube.com/watch?v=vXxyHw5LWuk,True
YY4aeh6RKrM,The Fire in the Fan: Teaching Rebellion Through Jane Austen's Grammar,20260204,36,5,1,151,https://www.youtube.com/watch?v=YY4aeh6RKrM,True
x-Va_fwkBjU,4  Scaling & Testing Your n8n Workflow with HAILogo,20260124,84,12,19,375,https://www.youtube.com/watch?v=x-Va_fwkBjU,True
aBx-dOYPPBM,3 Datacleaning n8n with HAILogo,20260124,81,11,12,294,https://www.youtube.com/watch?v=aBx-dOYPPBM,True
